current,left,current_abb,left_abb,count,year
Alabama,Alabama,AL,AL,NA,Total 2016-2019
Alabama,Alaska,AL,AK,2524,Total 2016-2019
Alabama,Arizona,AL,AZ,5354,Total 2016-2019
Alabama,Arkansas,AL,AR,2876,Total 2016-2019
Alabama,California,AL,CA,15288,Total 2016-2019
Alabama,Colorado,AL,CO,7865,Total 2016-2019
Alabama,Connecticut,AL,CT,2354,Total 2016-2019
Alabama,Delaware,AL,DE,848,Total 2016-2019
Alabama,District of Columbia,AL,DC,723,Total 2016-2019
Alabama,Florida,AL,FL,60619,Total 2016-2019
Alabama,Foreign Country,AL,OR,40134,Total 2016-2019
Alabama,Foreign Country4,AL,OR,13191,Total 2016-2019
Alabama,Georgia,AL,GA,77797,Total 2016-2019
Alabama,Hawaii,AL,HI,3083,Total 2016-2019
Alabama,Idaho,AL,ID,330,Total 2016-2019
Alabama,Illinois,AL,IL,11378,Total 2016-2019
Alabama,Indiana,AL,IN,9065,Total 2016-2019
Alabama,Iowa,AL,IA,2724,Total 2016-2019
Alabama,Kansas,AL,KS,3476,Total 2016-2019
Alabama,Kentucky,AL,KY,9463,Total 2016-2019
Alabama,Louisiana,AL,LA,10442,Total 2016-2019
Alabama,Maine,AL,ME,347,Total 2016-2019
Alabama,Maryland,AL,MD,4005,Total 2016-2019
Alabama,Massachusetts,AL,MA,2677,Total 2016-2019
Alabama,Michigan,AL,MI,8140,Total 2016-2019
Alabama,Minnesota,AL,MN,1498,Total 2016-2019
Alabama,Mississippi,AL,MS,27430,Total 2016-2019
Alabama,Missouri,AL,MO,6005,Total 2016-2019
Alabama,Montana,AL,MT,768,Total 2016-2019
Alabama,Nebraska,AL,NE,1342,Total 2016-2019
Alabama,Nevada,AL,NV,3111,Total 2016-2019
Alabama,New Hampshire,AL,NH,421,Total 2016-2019
Alabama,New Jersey,AL,NJ,3727,Total 2016-2019
Alabama,New Mexico,AL,NM,1944,Total 2016-2019
Alabama,New York,AL,NY,10472,Total 2016-2019
Alabama,North Carolina,AL,NC,16485,Total 2016-2019
Alabama,North Dakota,AL,ND,895,Total 2016-2019
Alabama,Ohio,AL,OH,8059,Total 2016-2019
Alabama,Oklahoma,AL,OK,3518,Total 2016-2019
Alabama,Oregon,AL,OR,1187,Total 2016-2019
Alabama,Pennsylvania,AL,PA,6710,Total 2016-2019
